,brand,model,price,Spec-score,Rating,Network,processor,memory_card,android_version,Foldable,display_size,Resolution,Frame Rate,RAM,Memory,Rear Camera,Front Camera,Battery,Fast charge
577,OPPO,Reno 13 5G ,41999,87,4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 8350, Octa Core, 3.35 GHz Processor",Memory Card Not Supported,Android v15,No,6.59, 1256 x 2760 px, 120 Hz Display with Punch Hole,12 GB RAM, 512 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 50 MP Front Camera,5.6e+03, 80W Fast Charging
578,Samsung,Galaxy S25 ,92999,87,4.2,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8Elite, Octa Core, 4.47 GHz Processor",Memory Card Not Supported,Android v15,No,6.2, 1080 x 2340 px, 120 Hz Display with Punch Hole,12 GB RAM, 512 GB inbuilt,50 MP + 12 MP + 10 MP Triple Rear , 12 MP Front Camera,4e+03, 25W Fast Charging
579,itel,A90,6548,61,4.65,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Unisoc T7100, Octa Core, 1.8 GHz Processor","Memory Card Supported, upto 2 TB",Android v14,No,6.6, 720 x 1612 px, 90 Hz Display with Water Drop Notch,4 GB RAM, 64 GB inbuilt,13 MP Rear , 5 MP Front Camera,5e+03, 15W Fast Charging
580,Infinix,Smart 9 HD,6500,65,4.1,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, IR Blaster","Helio G50, Octa Core, 2.2 GHz Processor","Memory Card Supported, upto 1 TB",Android v14,No,6.7, 720 x 1600 px, 90 Hz Display with Punch Hole,3 GB RAM, 64 GB inbuilt,13 MP Rear , 8 MP Front Camera,5e+03, 10W Fast Charging
581,Vivo,Y29 5G ,16998,77,4.55,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.68, 720 x 1608 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 0.08 MP Dual Rear , 8 MP Front Camera,5.5e+03, 44W Fast Charging
582,Samsung,Galaxy Z Flip 7 FE 5G,89999,89,4.05,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Exynos 2400, Octa Core, 3.2 GHz Processor",Memory Card Not Supported,Android version undefined,Yes,6.7, 1080 x 2640 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 12 MP Dual Rear , 10 MP Front Camera,4e+03, 25W Fast Charging
583,Apple,iPhone 16 ,99900,86,4.05,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Bionic A18, Hexa Core, 4.04 GHz Processor",Memory Card Not Supported,Android version undefined,No,6.1, 1179 x 2556 px Display with Dynamic Island Display,,8 GB RAM, 512 GB inbuilt,48 MP + 12 MP Dual Rear , 12 MP Front Camera,3.56e+03, Fast Charging
584,Infinix,Note 40 Pro Racing Edition,18999,84,4.6,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 7020, Octa Core, 2.2 GHz Processor",Memory Card Not Supported,Android v14,No,6.78, 1080 x 2436 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,108 MP + 2 MP + 2 MP Triple Rear , 32 MP Front Camera,5e+03, 45W Fast Charging
585,Tecno,Spark Go 1,7299,62,4.65,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, IR Blaster","Unisoc T615, Octa Core, 1.8 GHz Processor","Memory Card Supported, upto 1 TB",Android v14,No,6.67, 720 x 1600 px, 120 Hz Display with Punch Hole,4 GB RAM, 64 GB inbuilt,13 MP Rear , 8 MP Front Camera,5e+03, 15W Fast Charging
586,Vivo,V40 5G ,36999,84,4.7,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor",Memory Card Not Supported,Android v14,No,6.78, 1260 x 2800 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 50 MP Dual Rear , 50 MP Front Camera,5.5e+03, 80W Fast Charging
587,Realme,C63 5G,10790,73,4.55,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","Memory Card (Hybrid), upto 2 TB",Android v14,No,6.67, 720 x 1604 px, 120 Hz Display with Punch Hole,4 GB RAM, 128 GB inbuilt,32 MP Dual Rear , 8 MP Front Camera,5e+03, 10W Fast Charging
588,Realme,13 Pro 5G ,23749,83,4.45,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor",Memory Card Not Supported,Android v14,No,6.7, 1080 x 2412 px, 120 Hz Display with Punch Hole,12 GB RAM, 512 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 32 MP Front Camera,5.2e+03, 45W Fast Charging
589,Vivo,Y28e 5G ,9999,68,4.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.56, 720 x 1612 px, 90 Hz Display with Water Drop Notch,4 GB RAM, 64 GB inbuilt,13 MP + 0.08 MP Dual Rear , 5 MP Front Camera,5e+03, 15W Fast Charging
590,Realme,C61 ,8499,71,4.65,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Unisoc T612, Octa Core, 1.8 GHz Processor","Memory Card Supported, upto 2 TB",Android v14,No,6.74, 720 x 1600 px, 90 Hz Display with Water Drop Notch,6 GB RAM, 128 GB inbuilt,32 MP Rear , 5 MP Front Camera,5e+03, 18W Fast Charging
592,Vivo,Y58 5G,17499,80,4.65,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.72, 1080 x 2408 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 8 MP Front Camera,6e+03, 44W Fast Charging
593,Realme,GT 6T ,28990,84,4.3,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Snapdragon 7+ Gen3, Octa Core, 2.8 GHz Processor",Memory Card Not Supported,Android v14,No,6.78, 1264 x 2780 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 8 MP Dual Rear , 32 MP Front Camera,5.5e+03, 120W Fast Charging
594,Google,Pixel 8A ,44999,77,4.4,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Tensor G3, Nine-Cores, 3 GHz Processor",Memory Card Not Supported,Android v14,No,6.1, 1080 x 2400 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,64 MP + 13 MP Dual Rear , 13 MP Front Camera,4.492e+03, Fast Charging
595,Realme,P1 5G ,15999,81,4.55,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7050, Octa Core, 2.6 GHz Processor","Memory Card (Hybrid), upto 2 TB",Android v14,No,6.67, 1080 x 2400 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 2 MP Dual Rear , 16 MP Front Camera,5e+03, 45W Fast Charging
596,Xiaomi,Redmi A3x,6170,61,4.1,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Unisoc T603, Octa Core, 1.8 GHz Processor","Memory Card Supported, upto 1 TB",Android v14,No,6.71, 720 x 1650 px, 90 Hz Display with Water Drop Notch,3 GB RAM, 64 GB inbuilt,8 MP + 0.08 MP Dual Rear , 5 MP Front Camera,5e+03, 10W Fast Charging
597,Realme,Narzo 70 Pro 5G ,21499,82,4.6,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7050, Octa Core, 2.6 GHz Processor","Memory Card (Hybrid), upto 2 TB",Android v14,No,6.67, 1080 x 2400 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 16 MP Front Camera,5e+03, 67W Fast Charging
598,Vivo,V30 5G ,28999,84,4.25,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor",Memory Card Not Supported,Android v14,No,6.78, 1260 x 2800 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,50 MP + 50 MP Dual Rear , 50 MP Front Camera,5e+03, 80W Fast Charging
599,Oppo,F25 Pro 5G ,24999,84,4.4,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7050, Octa Core, 2.6 GHz Processor","Memory Card (Hybrid), upto 2 TB",Android v14,No,6.7, 1080 x 2412 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,64 MP + 8 MP + 2 MP Triple Rear , 32 MP Front Camera,5e+03, 67W Fast Charging
600,Samsung,Galaxy A15 5G ,14399,77,4.25,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.5, 1080 x 2340 px, 90 Hz Display with Water Drop Notch,6 GB RAM, 128 GB inbuilt,50 MP + 5 MP + 2 MP Triple Rear , 13 MP Front Camera,5e+03, 25W Fast Charging
601,OPPO,Reno 11 ,26290,87,4.7,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 7050, Octa Core, 2.6 GHz Processor","Memory Card (Hybrid), upto 2 TB",Android v14,No,6.7, 1080 x 2412 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 32 MP + 8 MP Triple Rear , 32 MP Front Camera,5e+03, 67W Fast Charging
602,Vivo,T2 Pro 5G ,23999,79,4.5,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7200, Octa Core, 2.8 GHz Processor",Memory Card Not Supported,Android v13,No,6.78, 1080 x 2400 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,64 MP + 2 MP Dual Rear , 16 MP Front Camera,4.6e+03, 66W Fast Charging
604,Poco,C61,6998,65,4.65,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio G36, Octa Core, 2.2 GHz Processor","Memory Card Supported, upto 1 TB",Android v14,No,6.71, 720 x 1650 px, 90 Hz Display with Water Drop Notch,4 GB RAM, 64 GB inbuilt,8 MP + 0.08 MP Dual Rear , 5 MP Front Camera,5e+03, 18W Fast Charging
606,iQOO,Neo 9 Pro 5G,41500,81,4.1,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor",Memory Card Not Supported,Android v14,No,6.78, 1260 x 2800 px, 144 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 8 MP Dual Rear , 16 MP Front Camera,5.16e+03, 120W Fast Charging
607,Samsung,Galaxy M15 5G,11899,74,4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.45, 1080 x 2340 px, 90 Hz Display with Water Drop Notch,4 GB RAM, 128 GB inbuilt,50 MP + 5 MP + 2 MP Triple Rear , 13 MP Front Camera,6e+03, 25W Fast Charging
608,Infinix,Hot 40i,9999,76,4.35,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Unisoc T606, Octa Core, 1.6 GHz Processor","Memory Card Supported, upto 2 TB",Android v13,No,6.6, 720 x 1612 px, 90 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 0.08 MP Dual Rear , 32 MP Front Camera,5e+03, 18W Fast Charging
609,Xiaomi,Redmi Note 12 ,16999,81,4.2,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 4 Gen 1, Octa Core, 2 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v12,No,6.67, 1080 x 2400 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,48 MP + 8 MP + 2 MP Triple Rear , 13 MP Front Camera,5e+03, 33W Fast Charging
610,Xiaomi,14 Ultra,99999,94,4.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor",Memory Card Not Supported,Android v14,No,6.73, 1440 x 3200 px, 120 Hz Display with Punch Hole,16 GB RAM, 512 GB inbuilt,50 MP Quad Rear , 32 MP Front Camera,5e+03, 90W Fast Charging
611,OnePlus,11R ,44999,85,4.55,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8+ Gen1, Octa Core, 3.2 GHz Processor",Memory Card Not Supported,Android v13,No,6.74, 1240 x 2772 px, 120 Hz Display with Punch Hole,16 GB RAM, 256 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 16 MP Front Camera,5e+03, 100W Fast Charging
612,Samsung,Galaxy Z Fold 5,102222,90,4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8 Gen 2, Octa Core, 3.36 GHz Processor",Memory Card Not Supported,Android version undefined,Yes,7.6, 1812 x 2176 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,50 MP + 12 MP + 10 MP Triple Rear , 10 MP + 4 MP Dual Front Camera,4.4e+03, 25W Fast Charging
613,Samsung,Galaxy F14 4G,7999,74,4.75,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Snapdragon 680, Octa Core, 2.4 GHz Processor","Memory Card Supported, upto 1 TB",Android v14,No,6.7, 1080 x 2400 px, 90 Hz Display with Water Drop Notch,4 GB RAM, 64 GB inbuilt,50 MP + 2 MP + 2 MP Triple Rear , 13 MP Front Camera,5e+03, 25W Fast Charging
614,Samsung,Galaxy S23 Plus,59999,87,4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8 Gen 2, Octa Core, 3.36 GHz Processor",Memory Card Not Supported,Android v13,No,6.6, 1080 x 2340 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 12 MP + 10 MP Triple Rear , 12 MP Front Camera,4.7e+03, 45W Fast Charging
615,Samsung,Galaxy A23 5G,21999,77,4.65,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 695, Octa Core, 2.2 GHz Processor","Memory Card Supported, upto 1 TB",Android v12,No,6.6, 1080 x 2408 px, 120 Hz Display with Water Drop Notch,6 GB RAM, 128 GB inbuilt,50 MP Quad Rear , 8 MP Front Camera,5e+03, 25W Fast Charging
