,brand,model,price,Spec-score,Rating,Network,processor,memory_card,android_version,Foldable,display_size,Resolution,Frame Rate,RAM,Memory,Rear Camera,Front Camera,Battery,Fast charge
153,Realme,P3 5G ,18499,81,4.55,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 6 Gen4, Octa Core, 2.3 GHz Processor",Memory Card Not Supported,Android v15,No,6.67, 1080 x 2400 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 2 MP Dual Rear , 16 MP Front Camera,6e+03, 45W Fast Charging
154,Infinix,Note 40X 5G ,14195,84,4.25,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 6300, Octa Core, 2.4 GHz Processor","Memory Card Supported, upto 1 TB",Android v14,No,6.78, 1080 x 2406 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,108 MP + 2 MP Triple Rear , 8 MP Front Camera,5e+03, 18W Fast Charging
155,Samsung,Galaxy F06 5G,8779,72,4.05,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v15,No,6.7, 720 x 1600 px Display with Water Drop Notch,,4 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 8 MP Front Camera,5e+03, 25W Fast Charging
156,Vivo,V40e 5G,22999,81,4.35,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7300, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v14,No,6.77, 1080 x 2392 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 8 MP Dual Rear , 50 MP Front Camera,5.5e+03, 80W Fast Charging
157,Motorola,Edge 50 Fusion ,21736,84,4.25,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor",Memory Card Not Supported,Android v14,No,6.67, 1080 x 2400 px, 144 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,50 MP + 13 MP Dual Rear , 32 MP Front Camera,5e+03, 68W Fast Charging
158,Google,Pixel 9A,49999,84,4.4,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Tensor G4, Octa Core, 3.1 GHz Processor",Memory Card Not Supported,Android v15,No,6.3, 1080 x 2424 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,48 MP + 13 MP Dual Rear , 13 MP Front Camera,5.1e+03, 23W Fast Charging
159,OPPO,K13x 5G ,14354,79,4.45,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","Memory Card Supported, upto 2 TB",Android v15,No,6.67, 720 x 1604 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 8 MP Front Camera,6e+03, 45W Fast Charging
160,Apple,iPhone 16 Pro,110900,87,4.25,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Bionic A18 Pro, Hexa Core, 4.05 GHz Processor",Memory Card Not Supported,Android version undefined,No,6.3, 1206 x 2622 px, 120 Hz Display with Dynamic Island,8 GB RAM, 128 GB inbuilt,48 MP + 48 MP + 12 MP Triple Rear , 12 MP Front Camera,3.582e+03, Fast Charging
161,Poco,X6 Pro 5G,19599,82,4.5,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 8300 Ultra, Octa Core, 3.35 GHz Processor",Memory Card Not Supported,Android v14,No,6.67, 1220 x 2712 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,64 MP + 8 MP + 2 MP Triple Rear , 16 MP Front Camera,5e+03, 67W Fast Charging
162,Infinix,Note 50s 5G ,14999,77,4.45,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 7300 Ultimate, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v15,No,6.78, 1080 x 2436 px, 144 Hz Display with Punch Hole,6 GB RAM, 128 GB inbuilt,64 MP + 2 MP Dual Rear , 13 MP Front Camera,5.5e+03, 45W Fast Charging
163,Samsung,Galaxy M55s 5G ,23999,84,4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 7 Gen1, Octa Core, 2.4 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.7, 1080 x 2400 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 50 MP Front Camera,5e+03, 45W Fast Charging
164,Realme,13 Pro Plus 5G,24499,84,4.5,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor",Memory Card Not Supported,Android v14,No,6.7, 1080 x 2412 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 50 MP + 8 MP Triple Rear , 32 MP Front Camera,5.2e+03, 80W Fast Charging
165,Samsung,Galaxy S24 Ultra ,99999,93,4.3,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor",Memory Card Not Supported,Android v14,No,6.8, 1440 x 3120 px, 120 Hz Display with Punch Hole,12 GB RAM, 512 GB inbuilt,200 MP Quad Rear , 12 MP Front Camera,5e+03, 45W Fast Charging
166,Samsung,Galaxy A16 5G,17499,80,4.55,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 6300, Octa Core, 2.4 GHz Processor","Memory Card (Hybrid), upto 1.5 TB",Android v14,No,6.7, 1080 x 2340 px, 90 Hz Display with Water Drop Notch,8 GB RAM, 128 GB inbuilt,50 MP + 5 MP + 2 MP Triple Rear , 13 MP Front Camera,5e+03, 25W Fast Charging
167,iQOO,Neo 10 ,33998,85,4.55,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8s Gen4, Octa Core, 3.2 GHz Processor",Memory Card Not Supported,Android v15,No,6.78, 1260 x 2800 px, 144 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 8 MP Dual Rear , 32 MP Front Camera,7e+03, 120W Fast Charging
168,Samsung,Galaxy M35 5G ,18498,81,4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Exynos 1380, Octa Core, 2.4 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.6, 1080 x 2340 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 13 MP Front Camera,6e+03, 25W Fast Charging
169,Realme,Narzo 80 Pro 5G,18998,80,4.1,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7400, Octa Core, 2.6 GHz Processor",Memory Card Not Supported,Android v15,No,6.72, 1080 x 2392 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 16 MP Front Camera,6e+03, 80W Fast Charging
170,iQOO,Z9x ,11498,77,4.1,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 6 Gen1, Octa Core, 2.2 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.72, 1080 x 2408 px, 120 Hz Display with Punch Hole,6 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 8 MP Front Camera,6e+03, 44W Fast Charging
171,Samsung,Galaxy M16 5G ,11999,78,4.25,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 6300, Octa Core, 2.4 GHz Processor","Memory Card (Hybrid), upto 1.5 TB",Android v14,No,6.7, 1080 x 2340 px, 90 Hz Display with Punch Hole,6 GB RAM, 128 GB inbuilt,50 MP + 5 MP + 2 MP Triple Rear , 13 MP Front Camera,5e+03, 25W Fast Charging
172,Motorola,Moto G45 5G,10425,74,4.05,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 6s Gen3, Octa Core, 2.3 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.5, 720 x 1600 px, 120 Hz Display with Punch Hole,4 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 16 MP Front Camera,5e+03, 20W Fast Charging
173,Oppo,F27 Pro Plus 5G,21999,79,4.65,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7050, Octa Core, 2.6 GHz Processor",Memory Card Not Supported,Android v14,No,6.7, 1080 x 2412 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,64 MP + 2 MP Dual Rear , 8 MP Front Camera,5e+03, 67W Fast Charging
174,Samsung,Galaxy M05,6249,69,4.45,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio G85, Octa Core, 2 GHz Processor","Memory Card Supported, upto 1 TB",Android v14,No,6.7, 720 x 1600 px Display with Water Drop Notch,,4 GB RAM, 64 GB inbuilt,50 MP + 2 MP Dual Rear , 8 MP Front Camera,5e+03, 25W Fast Charging
175,OnePlus,12 5G,51997,90,4.45,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor",Memory Card Not Supported,Android v14,No,6.82, 1440 x 3168 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,64 MP + 50 MP + 48 MP Triple Rear , 32 MP Front Camera,5.4e+03, 100W Fast Charging
176,Google,Pixel 8A,37999,76,4.65,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Tensor G3, Nine-Cores, 3 GHz Processor",Memory Card Not Supported,Android v14,No,6.1, 1080 x 2400 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,64 MP + 13 MP Dual Rear , 13 MP Front Camera,4.492e+03, Fast Charging
177,iQOO,Z10 5G ,23998,80,4.3,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v15,No,6.77, 1080 x 2392 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 2 MP Dual Rear , 32 MP Front Camera,7.3e+03, 90W Fast Charging
178,Samsung,Galaxy F16 5G ,12649,78,4.1,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 6300, Octa Core, 2.4 GHz Processor","Memory Card (Hybrid), upto 1.5 TB",Android v15,No,6.7, 1080 x 2340 px, 90 Hz Display with Punch Hole,6 GB RAM, 128 GB inbuilt,50 MP + 5 MP + 2 MP Triple Rear , 13 MP Front Camera,5e+03, 25W Fast Charging
179,iQOO,Neo 10R ,29998,83,4.4,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor",Memory Card Not Supported,Android v15,No,6.78, 1260 x 2800 px, 144 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,50 MP + 8 MP Dual Rear , 32 MP Front Camera,6.4e+03, 80W Fast Charging
180,Xiaomi,15,64998,90,4.1,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor",Memory Card Not Supported,Android v15,No,6.36, 1200 x 2670 px, 120 Hz Display with Punch Hole,12 GB RAM, 512 GB inbuilt,50 MP + 50 MP + 50 MP Triple Rear , 32 MP Front Camera,5.24e+03, 90W Fast Charging
181,Xiaomi,Redmi Note 13 Pro 5G,21800,81,4.1,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 7s Gen 2, Octa Core, 2.4 GHz Processor",Memory Card Not Supported,Android v13,No,6.67, 1220 x 2712 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,200 MP + 8 MP + 2 MP Triple Rear , 16 MP Front Camera,5.1e+03, 67W Fast Charging
182,Vivo,V50e 5G,28999,81,4.05,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7300, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v15,No,6.77, 1080 x 2392 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 8 MP Dual Rear , 50 MP Front Camera,5.6e+03, 90W Fast Charging
183,Samsung,Galaxy A06 5G ,9400,74,4.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","Memory Card Supported, upto 1 TB",Android v15,No,6.7, 720 x 1600 px, 90 Hz Display with Water Drop Notch,4 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 8 MP Front Camera,5.8e+03, 25W Fast Charging
184,iQOO,13 ,59998,90,4.3,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor",Memory Card Not Supported,Android v15,No,6.82, 1440 x 3168 px, 144 Hz Display with Punch Hole,16 GB RAM, 512 GB inbuilt,50 MP + 50 MP + 50 MP Triple Rear , 32 MP Front Camera,6e+03, 120W Fast Charging
185,Realme,P2 Pro 5G,16999,80,4.25,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7s Gen 2, Octa Core, 2.4 GHz Processor",Memory Card Not Supported,Android v14,No,6.7, 1080 x 2412 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 8 MP Dual Rear , 32 MP Front Camera,5.2e+03, 80W Fast Charging
186,Motorola,Edge 50 Ultra 5G,45409,90,4.35,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor",Memory Card Not Supported,Android v14,No,6.7, 1220 x 2712 px, 144 Hz Display with Punch Hole,12 GB RAM, 512 GB inbuilt,64 MP + 50 MP + 50 MP Triple Rear , 50 MP Front Camera,4.5e+03, 125W Fast Charging
187,Nothing,Phone 3a ,25526,84,4.05,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v15,No,6.77, 1080 x 2392 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 50 MP + 8 MP Triple Rear , 32 MP Front Camera,5e+03, 50W Fast Charging
188,Samsung,Galaxy A35 5G ,23000,83,4.25,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Exynos 1380, Octa Core, 2.4 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.6, 1080 x 2340 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 8 MP + 5 MP Triple Rear , 13 MP Front Camera,5e+03, 25W Fast Charging
189,Xiaomi,Redmi Note 13 Pro Plus ,25950,85,4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 7200 Ultra, Octa Core, 2.8 GHz Processor",Memory Card Not Supported,Android v13,No,6.67, 1220 x 2712 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,200 MP + 8 MP + 2 MP Triple Rear , 16 MP Front Camera,5e+03, 120W Fast Charging
190,Vivo,Y39 5G,16998,74,4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor",Memory Card Not Supported,Android v15,No,6.68, 720 x 1608 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 8 MP Front Camera,6.5e+03, 44W Fast Charging
191,Motorola,Moto G64 5G ,16890,83,4.1,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi","Dimensity 7025, Octa Core, 2.5 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.5, 1080 x 2400 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,50 MP + 8 MP Dual Rear , 16 MP Front Camera,6e+03, 33W Fast Charging
192,Motorola,Moto G05,7649,69,4.75,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, NFC","Helio G81 Ultra, Octa Core, 2 GHz Processor","Memory Card Supported, upto 1 TB",Android v15,No,6.67, 720 x 1604 px, 90 Hz Display with Punch Hole,4 GB RAM, 64 GB inbuilt,50 MP Rear , 8 MP Front Camera,5.2e+03, 18W Fast Charging
193,Vivo,T3 Pro 5G,22790,80,4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor",Memory Card Not Supported,Android v14,No,6.77, 1080 x 2392 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 8 MP Dual Rear , 16 MP Front Camera,5.5e+03, 80W Fast Charging
194,Vivo,T4 5G ,25999,81,4.5,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v15,No,6.77, 1080 x 2392 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,50 MP + 2 MP Dual Rear , 32 MP Front Camera,7.3e+03, 90W Fast Charging
195,Vivo,Y400 Pro 5G ,26998,80,4.45,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 7300, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v15,No,6.77, 1080 x 2392 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 2 MP Dual Rear , 32 MP Front Camera,5.5e+03, 90W Fast Charging
196,Oppo,A5 Pro 5G,17999,74,4.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor",Memory Card Not Supported,Android v15,No,6.67, 720 x 1604 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 8 MP Front Camera,5.8e+03, 45W Fast Charging
197,CMF,Phone 2 Pro 5G ,20393,84,4.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7300 Pro, Octa Core, 2.5 GHz Processor","Memory Card (Hybrid), upto 2 TB",Android v15,No,6.77, 1080 x 2392 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 50 MP + 8 MP Triple Rear , 16 MP Front Camera,5e+03, 33W Fast Charging
198,Tecno,Pova Curve 5G,15999,78,4.65,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 7300 Ultimate, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v15,No,6.78, 1080 x 2436 px, 144 Hz Display with Punch Hole,6 GB RAM, 128 GB inbuilt,64 MP + AI Camera Dual Rear , 13 MP Front Camera,5.5e+03, 45W Fast Charging
199,Samsung,Galaxy A55 5G ,29999,86,4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Exynos 1480, Octa Core, 2.7 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.6, 1080 x 2340 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,50 MP + 12 MP + 5 MP Triple Rear , 32 MP Front Camera,5e+03, 25W Fast Charging
200,Samsung,Galaxy S24 ,44397,86,4.65,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Exynos 2400, Deca Core, 3.2 GHz Processor",Memory Card Not Supported,Android v14,No,6.2, 1080 x 2340 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 12 MP + 10 MP Triple Rear , 12 MP Front Camera,4e+03, 25W Fast Charging
201,Poco,F6 5G,21999,82,4.1,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor",Memory Card Not Supported,Android v14,No,6.67, 1220 x 2712 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 8 MP Dual Rear , 20 MP Front Camera,5e+03, 90W Fast Charging
202,Xiaomi,Redmi Note 13 5G,15380,79,4.5,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, IR Blaster","Dimensity 6080, Octa Core, 2.4 GHz Processor","Memory Card Supported, upto 1 TB",Android v13,No,6.67, 1080 x 2400 px, 120 Hz Display with Punch Hole,6 GB RAM, 128 GB inbuilt,108 MP + 8 MP + 2 MP Triple Rear , 16 MP Front Camera,5e+03, 33W Fast Charging
203,Samsung,Galaxy S22 Ultra 5G,62999,92,4.6,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8 Gen1, Octa Core, 3 GHz Processor",Memory Card Not Supported,Android v12,No,6.8, 1440 x 3080 px, 120 Hz Display with Punch Hole,12 GB RAM, 256 GB inbuilt,108 MP Quad Rear , 40 MP Front Camera,5e+03, 45W Fast Charging
204,Samsung,Galaxy M06 ,8990,70,4.65,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","Memory Card (Hybrid), upto 1.5 TB",Android v15,No,6.74, 720 x 1600 px, 90 Hz Display with Water Drop Notch,4 GB RAM, 64 GB inbuilt,50 MP + 2 MP Dual Rear , 8 MP Front Camera,5e+03, 25W Fast Charging
205,OnePlus,13s ,59998,88,4.4,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor",Memory Card Not Supported,Android v15,No,6.32, 1216 x 2640 px, 120 Hz Display with Punch Hole,12 GB RAM, 512 GB inbuilt,50 MP + 50 MP Dual Rear , 32 MP Front Camera,5.85e+03, 80W Fast Charging
206,Tecno,Pova 7 Pro 5G ,19999,80,4.35,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 7300 Ultimate, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v15,No,6.78, 1224 x 2720 px, 144 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,64 MP + 8 MP Dual Rear , 13 MP Front Camera,6e+03, 45W Fast Charging
207,Poco,X7 5G ,17999,82,4.2,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Dimensity 7300 Ultra, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v14,No,6.67, 1220 x 2712 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 20 MP Front Camera,5.5e+03, 45W Fast Charging
208,OnePlus,Nord 4 5G ,29999,83,4.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 7+ Gen3, Octa Core, 2.8 GHz Processor",Memory Card Not Supported,Android v14,No,6.74, 1240 x 2772 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 8 MP Dual Rear , 16 MP Front Camera,5.5e+03, 100W Fast Charging
209,Samsung,Galaxy F55 5G,17937,83,4.6,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 7 Gen1, Octa Core, 2.4 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v14,No,6.7, 1080 x 2400 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 50 MP Front Camera,5e+03, 45W Fast Charging
210,Motorola,Moto G62 ,11999,81,4.55,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon  695, Octa Core, 2.2 GHz Processor","Memory Card (Hybrid), upto 1 TB",Android v12,No,6.55, 1080 x 2400 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 16 MP Front Camera,5e+03, Fast Charging
211,Samsung,Galaxy Z Fold 7 ,174999,95,4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8 Elite for Galaxy, Octa Core, 4.47 GHz Processor",Memory Card Not Supported,Android version undefined,Yes,8.0, 1968 x 2184 px, 120 Hz Display with Punch Hole,12 GB RAM, 512 GB inbuilt,200 MP + 12 MP + 10 MP Triple Rear , 10 MP + 10 MP Dual Front Camera,4.4e+03, 25W Fast Charging
212,Realme,Narzo 80x 5G ,12499,78,4.05,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6400, Octa Core, 2.5 GHz Processor",Memory Card (Hybrid),Android v15,No,6.72, 1080 x 2400 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 8 MP Front Camera,6e+03, 45W Fast Charging
213,Realme,P3 Pro 5G ,20999,80,4.45,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor",Memory Card Not Supported,Android v15,No,6.83, 1272 x 2800 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 2 MP Dual Rear , 16 MP Front Camera,6e+03, 80W Fast Charging
214,Realme,GT 7T,30969,85,4.7,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Dimensity 8400-MAX, Octa Core, 3.25 GHz Processor",Memory Card Not Supported,Android v15,No,6.8, 1280 x 2800 px, 120 Hz Display with Punch Hole,8 GB RAM, 256 GB inbuilt,50 MP + 8 MP Dual Rear , 32 MP Front Camera,7e+03, 120W Fast Charging
215,iQOO,Z10 Lite 5G ,10998,73,4.05,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor",Memory Card Not Supported,Android v15,No,6.74, 720 x 1600 px, 90 Hz Display,6 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 5 MP Front Camera,6e+03, 15W Fast Charging
216,Samsung,Galaxy A26 5G,21778,82,4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Exynos 1380, Octa Core, 2.4 GHz Processor","Memory Card (Hybrid), upto 2 TB",Android v15,No,6.7, 1080 x 2340 px, 120 Hz Display with Water Drop Notch,8 GB RAM, 128 GB inbuilt,50 MP + 8 MP + 2 MP Triple Rear , 13 MP Front Camera,5e+03, 25W Fast Charging
217,Realme,P3x 5G ,13848,79,4.05,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6400, Octa Core, 2.5 GHz Processor",Memory Card (Hybrid),Android v15,No,6.72, 1080 x 2400 px, 120 Hz Display with Punch Hole,8 GB RAM, 128 GB inbuilt,50 MP + 2 MP Dual Rear , 8 MP Front Camera,6e+03, 45W Fast Charging
